Class,Precision,Recall,F1-Score,Support
Negative,0.8223758465011287,0.7772,0.7991499862901015,15000
Neutral,0.669970516278778,0.712,0.6903461426586083,15000
Positive,0.8523819122488746,0.8457333333333333,0.8490446073018104,15000
