Class,Precision,Recall,F1-Score,Support
Negative,0.6859286011946104,0.6584,0.6718824409823797,15000
Neutral,0.5041422265223439,0.5558,0.5287123061800425,15000
Positive,0.7132598649129044,0.6688,0.6903148116291071,15000
