Class,Precision,Recall,F1-Score,Support
Negative,0.8640417663693714,0.7944,0.8277586745858081,15000
Neutral,0.7134014237078304,0.7683333333333333,0.739849141389825,15000
Positive,0.8723262920154112,0.8754666666666666,0.8738936580821188,15000
